Delhi,2020-01-01,372.14,483.87,109.53,64.18,135.0,56.85,3.15,18.49,39.58,8.5,60.79,1.38,492.0,Severe
Delhi,2020-01-02,327.04,439.31,120.76,64.8,143.71,58.26,3.32,19.95,36.5,9.36,73.11,2.65,485.0,Severe
Delhi,2020-01-03,228.9,337.04,111.09,55.65,131.13,53.02,2.8,14.93,27.82,6.96,66.8,2.8,426.0,Severe
Delhi,2020-01-04,220.6,327.22,86.58,57.67,110.2,53.46,2.2,12.85,29.94,6.81,48.18,5.45,366.0,Very Poor
Delhi,2020-01-05,170.21,257.94,29.99,48.25,54.3,47.94,1.23,9.59,30.21,3.7,28.9,4.8,354.0,Very Poor
Delhi,2020-01-06,159.64,247.47,35.49,51.19,60.14,47.01,1.27,11.34,21.99,3.52,31.1,1.13,335.0,Very Poor
Delhi,2020-01-07,120.31,176.22,24.08,44.9,46.56,43.53,1.18,12.74,22.82,3.64,24.51,0.3,285.0,Poor
Delhi,2020-01-08,117.98,145.85,26.65,38.64,45.09,44.73,1.13,8.67,17.63,3.49,22.67,0.19,281.0,Poor
Delhi,2020-01-09,89.26,132.06,14.71,32.3,31.03,36.87,0.89,7.28,22.0,2.43,15.34,0.04,231.0,Poor
Delhi,2020-01-10,130.82,203.54,27.73,45.12,50.71,37.73,1.3,9.44,27.25,3.8,24.75,0.33,255.0,Poor
Delhi,2020-01-11,151.1,245.62,43.83,53.28,69.66,40.97,1.54,11.65,30.98,4.33,28.3,0.86,309.0,Very Poor
Delhi,2020-01-12,207.23,325.36,90.44,59.91,113.97,48.65,2.26,12.35,32.47,5.53,39.19,1.56,352.0,Very Poor
Delhi,2020-01-13,218.98,329.77,61.38,55.04,84.22,53.64,2.11,11.59,27.98,5.74,34.26,1.58,381.0,Very Poor
Delhi,2020-01-14,115.62,163.67,21.19,38.08,40.99,46.34,1.16,9.24,21.62,3.31,23.78,0.31,314.0,Very Poor
Delhi,2020-01-15,111.57,179.08,29.61,47.45,54.26,41.76,1.17,10.68,26.19,3.72,30.02,0.34,241.0,Poor
Delhi,2020-01-16,139.06,197.9,28.99,44.21,51.19,43.54,1.11,10.44,18.63,4.05,30.42,0.26,286.0,Poor
Delhi,2020-01-17,107.65,152.98,31.58,36.19,49.2,40.15,1.14,9.69,18.97,3.71,24.4,0.3,287.0,Poor
Delhi,2020-01-18,125.3,198.24,39.64,43.78,60.8,39.56,1.32,9.65,19.93,4.79,29.24,0.34,262.0,Poor
Delhi,2020-01-19,125.04,187.93,18.6,34.18,36.38,38.38,0.96,8.69,25.86,2.95,13.77,0.09,290.0,Poor
Delhi,2020-01-20,142.18,225.67,30.68,38.21,49.07,39.27,1.39,9.65,24.64,3.9,19.39,0.22,282.0,Poor
Delhi,2020-01-21,222.81,348.45,63.49,48.18,83.32,48.02,1.93,12.24,27.6,6.32,39.27,0.85,359.0,Very Poor
Delhi,2020-01-22,198.88,296.98,66.0,44.3,82.89,45.17,1.9,10.95,24.63,7.0,36.98,0.79,378.0,Very Poor
Delhi,2020-01-23,74.45,137.61,15.4,35.26,33.47,36.32,0.79,8.71,27.73,2.52,14.04,0.07,273.0,Poor
Delhi,2020-01-24,79.83,151.81,23.68,44.0,45.88,34.23,0.99,10.73,30.53,2.66,15.38,0.06,155.0,Moderate
Delhi,2020-01-25,136.72,240.57,58.83,56.31,84.2,41.37,1.48,12.36,26.8,4.62,26.36,0.37,251.0,Poor
Delhi,2020-01-26,201.2,309.09,74.63,50.94,95.06,48.8,2.09,12.81,32.7,5.87,33.9,0.83,349.0,Very Poor
Delhi,2020-01-27,209.97,330.91,89.41,67.09,116.25,53.66,2.19,14.72,26.6,5.97,36.87,1.36,365.0,Very Poor
