Year,Month,Day,Hour,PM2.5
2017,11,17,11,56.19
2017,11,17,12,54.87
2017,11,17,13,60.8
2017,11,17,14,73.62
2017,11,17,15,77.91
2017,11,17,18,84.26
2017,11,17,20,73.79
2017,11,17,23,69.13
2017,11,18,0,69.28
2017,11,18,2,70.48
2017,11,18,7,71.19
2017,11,18,8,64.14
2017,11,18,9,62.77
2017,11,18,10,58.78
2017,11,18,11,59.61
2017,11,18,12,62.42
2017,11,18,13,69.86
2017,11,18,14,84.33
2017,11,18,15,93.72
2017,11,18,16,92.66
2017,11,18,17,89.34
2017,11,18,18,87.21
2017,11,18,19,87.01
2017,11,18,20,81.57
2017,11,18,22,77.17
2017,11,18,23,77.33
2017,11,19,0,75.65
2017,11,19,4,80.47
2017,11,19,5,81
2017,11,19,6,75.51
2017,11,19,7,70.66
2017,11,19,8,70
2017,11,19,9,67.65
2017,11,19,10,61.8
2017,11,19,11,61.05
2017,11,19,12,59.71
2017,11,19,13,68.26
2017,11,19,14,80.31
2017,11,19,15,90.17
2017,11,19,17,92.86
2017,11,19,18,95.28
2017,11,19,19,95.08
2017,11,20,0,74.28
2017,11,20,1,74.49
2017,11,20,2,74.45
2017,11,20,3,77.17
2017,11,20,9,61.98
2017,11,20,10,59.46
2017,11,20,11,48.98
2017,11,20,12,52.8
2017,11,20,13,59.47
2017,11,20,14,75.4
2017,11,20,15,79.12
2017,11,20,16,84.48
2017,11,20,17,89.4
2017,11,20,19,84.11
2017,11,20,20,74.85
2017,11,20,21,72.16
2017,11,20,22,70.85
2017,11,20,23,66.89
2017,11,21,0,67.13
2017,11,21,1,68.33
2017,11,21,2,71.4
2017,11,21,3,79.1
2017,11,21,4,87.53
2017,11,21,5,87.13
2017,11,21,6,79.39
2017,11,21,7,72.88
2017,11,21,8,66.58
2017,11,21,9,60.83
2017,11,21,10,57.46
2017,11,21,11,69.81
2017,11,21,12,56.29
2017,11,21,13,61.4
2017,11,21,14,74.03
2017,11,21,15,86.95
2017,11,21,16,99.18
2017,11,21,17,101.88
2017,11,21,18,102.7
2017,11,21,19,101.96
2017,11,21,20,97.12
2017,11,21,21,95.19
2017,11,21,22,86.94
2017,11,21,23,89.56
2017,11,22,0,87.22
2017,11,22,1,84.72
2017,11,22,2,88.94
2017,11,22,3,93.53
2017,11,22,4,96.76
2017,11,22,5,103.56
2017,11,22,6,102.32
2017,11,22,7,98.49
2017,11,22,8,98.76
2017,11,22,9,93.33
2017,11,23,19,115.58
2017,11,24,0,84.5
2017,11,24,1,84.56
2017,11,24,2,89.57
2017,11,24,3,98.19
2017,11,24,4,112.82
2017,11,24,5,113.95
2017,11,24,6,101.69
2017,11,24,7,92.45
2017,11,24,8,81.87
2017,11,24,9,71.62
2017,11,24,10,64.91
2017,11,24,11,63.88
2017,11,24,12,63.77
2017,11,24,13,72.17
2017,11,24,14,90.92
2017,11,24,15,119.42
2017,11,24,16,133.28
2017,11,24,17,134.03
2017,11,24,18,132.41
2017,11,24,19,129.72
2017,11,24,20,118.05
2017,11,24,21,110.89
2017,11,24,22,102.82
2017,11,24,23,98.74
2017,11,25,0,97.6
2017,11,25,1,99.56
2017,11,25,2,100.37
2017,11,25,3,105.26
2017,11,25,4,119.04
2017,11,25,5,118.55
2017,11,25,6,108.83
2017,11,25,7,91.68
2017,11,25,8,80.21
2017,11,25,10,68.03
2017,11,25,11,62.68
2017,11,25,12,68.73
2017,11,25,13,79.77
2017,11,25,14,97
2017,11,25,16,134.48
2017,11,25,17,144.05
2017,11,25,18,140.55
2017,11,25,19,139.48
2017,11,25,20,131.29
2017,11,25,21,123.36
2017,11,25,22,114.81
2017,11,25,23,105.59
2017,11,26,0,105.94
2017,11,26,1,104.58
2017,11,26,2,104.5
